Name,Code,Description
Ciertas enfermedades infecciosas y parasitarias,A085,Otras infecciones intestinales especificadas
Ciertas enfermedades infecciosas y parasitarias,A090,Otras gastroenteritis y colitis de origen infeccioso
Ciertas enfermedades infecciosas y parasitarias,A099,Gastroenteritis y colitis de origen no especificado
Ciertas enfermedades infecciosas y parasitarias,A150,"Tuberculosis del pulmon, confirmada por hallazgo microscopico del bacilo tuberculoso en esputo, con o sin cultivo"
Ciertas enfermedades infecciosas y parasitarias,A151,"Tuberculosis del pulmon, confirmada unicamente por cultivo"
Ciertas enfermedades infecciosas y parasitarias,A152,"Tuberculosis del pulmon, confirmada histologicamente"
Ciertas enfermedades infecciosas y parasitarias,A153,"Tuberculosis del pulmon, confirmada por medios no especificados"
Ciertas enfermedades infecciosas y parasitarias,A154,"Tuberculosis de ganglios linfaticos intratoracicos, confirmada bacteriologica e histologicamente"
Ciertas enfermedades infecciosas y parasitarias,A155,"Tuberculosis de laringe, traquea y bronquios, confirmada bacteriologica e histologicamente"
Ciertas enfermedades infecciosas y parasitarias,A156,"Pleuresia tuberculosa, confirmada bacteriologica e histologicamente"
Ciertas enfermedades infecciosas y parasitarias,A157,"Tuberculosis respiratoria primaria, confirmada bacteriologica e histologicamente"
Ciertas enfermedades infecciosas y parasitarias,A158,"Otras tuberculosis respiratorias, confirmadas bacteriologica e histologicamente"
Ciertas enfermedades infecciosas y parasitarias,A159,"Tuberculosis respiratoria no especificada, confirmada bacteriologica e histologicamente"
Ciertas enfermedades infecciosas y parasitarias,A160,"Tuberculosis del pulmon, con examen bacteriologico e histologico negativos"
Ciertas enfermedades infecciosas y parasitarias,A161,"Tuberculosis de pulmon, sin examen bacteriologico e histologico"
Ciertas enfermedades infecciosas y parasitarias,A162,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica"
Ciertas enfermedades infecciosas y parasitarias,A163,"Tuberculosis de ganglios linfaticos intratoracicos, sin mencion de confirmacion bacteriologica o histologica"
Ciertas enfermedades infecciosas y parasitarias,A164,"Tuberculosis de laringe, traquea y bronquios, sin mencion de confirmacion bacteriologica o histologica"
Ciertas enfermedades infecciosas y parasitarias,A165,"Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica"
Ciertas enfermedades infecciosas y parasitarias,A167,"Tuberculosis respiratoria primaria, sin mencion de confirmacion bacteriologica o histologica"
Ciertas enfermedades infecciosas y parasitarias,A168,"Otras tuberculosis respiratorias, sin mencion de confirmacion"
Ciertas enfermedades infecciosas y parasitarias,A169,"Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica"
Ciertas enfermedades infecciosas y parasitarias,A170,Meningitis tuberculosa
Ciertas enfermedades infecciosas y parasitarias,A171,Tuberculoma meningeo
Ciertas enfermedades infecciosas y parasitarias,A178,Otras tuberculosis del sistema nervioso
Ciertas enfermedades infecciosas y parasitarias,A179,"Tuberculosis del sistema nervioso, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A180,Tuberculosis de huesos y articulaciones
Ciertas enfermedades infecciosas y parasitarias,A181,Tuberculosis del aparato genitourinario
Ciertas enfermedades infecciosas y parasitarias,A182,Linfadenopatia periferica tuberculosa
Ciertas enfermedades infecciosas y parasitarias,A183,"Tuberculosis de los intestinos, el peritoneo y los ganglios mesentericos"
Ciertas enfermedades infecciosas y parasitarias,A184,Tuberculosis de la piel y el tejido subcutaneo
Ciertas enfermedades infecciosas y parasitarias,A185,Tuberculosis del ojo
Ciertas enfermedades infecciosas y parasitarias,A186,Tuberculosis del oido
Ciertas enfermedades infecciosas y parasitarias,A187,Tuberculosis de glandulas suprarrenales
Ciertas enfermedades infecciosas y parasitarias,A188,Tuberculosis de otros organos especificados
Ciertas enfermedades infecciosas y parasitarias,A190,Tuberculosis miliar aguda de un solo sitio especificado
Ciertas enfermedades infecciosas y parasitarias,A191,Tuberculosis miliar aguda de sitios multiples
Ciertas enfermedades infecciosas y parasitarias,A192,"Tuberculosis miliar aguda, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A198,Otras tuberculosis miliares
Ciertas enfermedades infecciosas y parasitarias,A199,"Tuberculosis miliar, sin otra especificacion"
Ciertas enfermedades infecciosas y parasitarias,A200,Peste bubonica
Ciertas enfermedades infecciosas y parasitarias,A201,Peste celulocutanea
Ciertas enfermedades infecciosas y parasitarias,A202,Peste neumonica
Ciertas enfermedades infecciosas y parasitarias,A203,Meningitis por peste
Ciertas enfermedades infecciosas y parasitarias,A207,Peste septicemica
Ciertas enfermedades infecciosas y parasitarias,A208,Otras formas de peste
Ciertas enfermedades infecciosas y parasitarias,A209,"Peste, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A210,Tularemia ulceroglandular
Ciertas enfermedades infecciosas y parasitarias,A211,Tularemia oculoglandular
Ciertas enfermedades infecciosas y parasitarias,A212,Tularemia pulmonar
Ciertas enfermedades infecciosas y parasitarias,A213,Tularemia gastrointestinal
Ciertas enfermedades infecciosas y parasitarias,A217,Tularemia generalizada
Ciertas enfermedades infecciosas y parasitarias,A218,Otras formas de tularemia
Ciertas enfermedades infecciosas y parasitarias,A219,"Tularemia, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A220,Carbunco cutaneo
Ciertas enfermedades infecciosas y parasitarias,A221,Carbunco pulmonar
Ciertas enfermedades infecciosas y parasitarias,A222,Carbunco gastrointestinal
Ciertas enfermedades infecciosas y parasitarias,A227,Carbunco septico
Ciertas enfermedades infecciosas y parasitarias,A228,Otras formas de carbunco
Ciertas enfermedades infecciosas y parasitarias,A229,"Carbunco, no especificado"
Ciertas enfermedades infecciosas y parasitarias,A230,Brucelosis debida a Brucella melitensis
Ciertas enfermedades infecciosas y parasitarias,A231,Brucelosis debida a Brucella abortus
Ciertas enfermedades infecciosas y parasitarias,A232,Brucelosis debida a Brucella suis
Ciertas enfermedades infecciosas y parasitarias,A233,Brucelosis debida a Brucella canis
Ciertas enfermedades infecciosas y parasitarias,A238,Otras brucelosis
Ciertas enfermedades infecciosas y parasitarias,A239,"Brucelosis, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A240,Muermo
Ciertas enfermedades infecciosas y parasitarias,A241,Melioidosis aguda y fulminante
Ciertas enfermedades infecciosas y parasitarias,A242,Melioidosis subaguda y cronica
Ciertas enfermedades infecciosas y parasitarias,A243,Otras melioidosis
Ciertas enfermedades infecciosas y parasitarias,A244,"Melioidosis, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A250,Espirilosis
Ciertas enfermedades infecciosas y parasitarias,A251,Estreptobacilosis
Ciertas enfermedades infecciosas y parasitarias,A259,"Fiebre por mordedura de rata, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A260,Erisipeloide cutaneo
Ciertas enfermedades infecciosas y parasitarias,A267,Sepsis por Erysipelothrix
Ciertas enfermedades infecciosas y parasitarias,A268,Otras formas de erisipeloide
Ciertas enfermedades infecciosas y parasitarias,A269,"Erisipeloide, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A270,Leptospirosis icterohemorragica
Ciertas enfermedades infecciosas y parasitarias,A278,Otras formas de leptospirosis
Ciertas enfermedades infecciosas y parasitarias,A279,"Leptospirosis, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A280,Pasteurelosis
Ciertas enfermedades infecciosas y parasitarias,A281,Enfermedad por rasguno de gato
Ciertas enfermedades infecciosas y parasitarias,A282,Yersiniosis extraintestinal
Ciertas enfermedades infecciosas y parasitarias,A288,"Otras enfermedades zoonoticas bacterianas especificadas, no clasificadas en otra parte"
Ciertas enfermedades infecciosas y parasitarias,A289,"Enfermedad zoonotica bacteriana, sin otra especificacion"
Ciertas enfermedades infecciosas y parasitarias,A300,Lepra indeterminada
Ciertas enfermedades infecciosas y parasitarias,A301,Lepra tuberculoide
Ciertas enfermedades infecciosas y parasitarias,A302,Lepra tuberculoide limitrofe
Ciertas enfermedades infecciosas y parasitarias,A303,Lepra limitrofe
Ciertas enfermedades infecciosas y parasitarias,A304,Lepra lepromatosa limitrofe
Ciertas enfermedades infecciosas y parasitarias,A305,Lepra lepromatosa
Ciertas enfermedades infecciosas y parasitarias,A308,Otras formas de lepra
Ciertas enfermedades infecciosas y parasitarias,A309,"Lepra, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A310,Infecciones por micobacterias pulmonares
Ciertas enfermedades infecciosas y parasitarias,A311,Infeccion cutanea por micobacterias
Ciertas enfermedades infecciosas y parasitarias,A318,Otras infecciones por micobacterias
Ciertas enfermedades infecciosas y parasitarias,A319,"Infeccion por micobacteria, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A320,Listeriosis cutanea
Ciertas enfermedades infecciosas y parasitarias,A321,Meningitis y meningoencefalitis listeriana
Ciertas enfermedades infecciosas y parasitarias,A327,Sepsis listeriana
Ciertas enfermedades infecciosas y parasitarias,A328,Otras formas de listeriosis
Ciertas enfermedades infecciosas y parasitarias,A329,"Listeriosis, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A33X,Tetanos neonatal
Ciertas enfermedades infecciosas y parasitarias,A34X,Tetanos obstetrico
Ciertas enfermedades infecciosas y parasitarias,A35X,Otros tetanos
Ciertas enfermedades infecciosas y parasitarias,A360,Difteria faringea
Ciertas enfermedades infecciosas y parasitarias,A361,Difteria nasofaringea
Ciertas enfermedades infecciosas y parasitarias,A362,Difteria laringea
Ciertas enfermedades infecciosas y parasitarias,A363,Difteria cutanea
Ciertas enfermedades infecciosas y parasitarias,A368,Otras difterias
Ciertas enfermedades infecciosas y parasitarias,A369,"Difteria, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A370,Tos ferina debida a Bordetella pertussis
Ciertas enfermedades infecciosas y parasitarias,A371,Tos ferina debida a Bordetella parapertussis
Ciertas enfermedades infecciosas y parasitarias,A378,Tos ferina debida a otras especies de Bordetella
Ciertas enfermedades infecciosas y parasitarias,A379,"Tos ferina, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A38X,Escarlatina
Ciertas enfermedades infecciosas y parasitarias,A390,Meningitis meningococica
Ciertas enfermedades infecciosas y parasitarias,A391,Sindrome de Waterhouse-Friderichsen
Ciertas enfermedades infecciosas y parasitarias,A392,Meningococemia aguda
Ciertas enfermedades infecciosas y parasitarias,A393,Meningococemia cronica
Ciertas enfermedades infecciosas y parasitarias,A394,"Meningococemia, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A395,Enfermedad cardiaca debida a meningococo
Ciertas enfermedades infecciosas y parasitarias,A398,Otras formas de enfermedad meningococica
Ciertas enfermedades infecciosas y parasitarias,A399,"Enfermedad meningococica, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A400,"Sepsis debida a estreptococo, grupo A"
Ciertas enfermedades infecciosas y parasitarias,A401,"Sepsis debida a estreptococo, grupo B"
Ciertas enfermedades infecciosas y parasitarias,A402,"Sepsis debida a estreptococo, grupo D"
Ciertas enfermedades infecciosas y parasitarias,A403,Sepsis debida a Streptococcus pneumoniae
Ciertas enfermedades infecciosas y parasitarias,A408,Otras sepsis estreptococicas
Ciertas enfermedades infecciosas y parasitarias,A409,"Sepsis estreptococica, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A410,Sepsis debida a Staphylococcus aureus
Ciertas enfermedades infecciosas y parasitarias,A411,Sepsis debida a otro estafilococo especificado
Ciertas enfermedades infecciosas y parasitarias,A412,Sepsis debida a estafilococo no especificado
Ciertas enfermedades infecciosas y parasitarias,A413,Sepsis debida a Haemophilus influenzae
Ciertas enfermedades infecciosas y parasitarias,A414,Sepsis debida a anaerobios
Ciertas enfermedades infecciosas y parasitarias,A415,Sepsis debida a otros organismos gramnegativos
Ciertas enfermedades infecciosas y parasitarias,A418,Otras sepsis especificadas
Ciertas enfermedades infecciosas y parasitarias,A419,"Sepsis, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A420,Actinomicosis pulmonar
Ciertas enfermedades infecciosas y parasitarias,A421,Actinomicosis abdominal
Ciertas enfermedades infecciosas y parasitarias,A422,Actinomicosis cervicofacial
Ciertas enfermedades infecciosas y parasitarias,A427,Sepsis actinomicotica
Ciertas enfermedades infecciosas y parasitarias,A428,Otras formas de actinomicosis
Ciertas enfermedades infecciosas y parasitarias,A429,"Actinomicosis, sin otra especificacion"
Ciertas enfermedades infecciosas y parasitarias,A430,Nocardiosis pulmonar
Ciertas enfermedades infecciosas y parasitarias,A431,Nocardiosis cutanea
Ciertas enfermedades infecciosas y parasitarias,A438,Otras formas de nocardiosis
Ciertas enfermedades infecciosas y parasitarias,A439,"Nocardiosis, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A440,Bartonelosis sistemica
Ciertas enfermedades infecciosas y parasitarias,A441,Bartonelosis cutanea y mucocutanea
Ciertas enfermedades infecciosas y parasitarias,A448,Otras formas de bartonelosis
Ciertas enfermedades infecciosas y parasitarias,A449,"Bartonelosis, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A46X,Erisipela
Ciertas enfermedades infecciosas y parasitarias,A480,Gangrena gaseosa
Ciertas enfermedades infecciosas y parasitarias,A481,Enfermedad de los legionarios
Ciertas enfermedades infecciosas y parasitarias,A482,Enfermedad de los legionarios no neumonica (fiebre de Pontiac)
Ciertas enfermedades infecciosas y parasitarias,A483,Sindrome del choque toxico
Ciertas enfermedades infecciosas y parasitarias,A484,Fiebre purpurica brasilena
Ciertas enfermedades infecciosas y parasitarias,A488,Otras enfermedades bacterianas especificadas
Ciertas enfermedades infecciosas y parasitarias,A490,"Infeccion estafilococica, sitio no especificado"
Ciertas enfermedades infecciosas y parasitarias,A491,"Infeccion estreptococica, sitio no especificado"
Ciertas enfermedades infecciosas y parasitarias,A492,"Infeccion por Haemophilus influenzae, sitio no especificado"
Ciertas enfermedades infecciosas y parasitarias,A493,"Infeccion por micoplasma, sitio no especificado"
Ciertas enfermedades infecciosas y parasitarias,A498,Otras infecciones bacterianas de sitio no especificado
Ciertas enfermedades infecciosas y parasitarias,A499,"Infeccion bacteriana, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A500,"Sifilis congenita precoz, sintomatica"
Ciertas enfermedades infecciosas y parasitarias,A501,"Sifilis congenita precoz, latente"
Ciertas enfermedades infecciosas y parasitarias,A502,"Sifilis congenita precoz, sin otra especificacion"
Ciertas enfermedades infecciosas y parasitarias,A503,Oculopatia sifilitica congenita tardia
Ciertas enfermedades infecciosas y parasitarias,A504,Neurosifilis congenita tardia [neurosifilis juvenil]
Ciertas enfermedades infecciosas y parasitarias,A505,"Otras formas de sifilis congenita tardia, sintomatica"
Ciertas enfermedades infecciosas y parasitarias,A506,"Sifilis congenita tardia, latente"
Ciertas enfermedades infecciosas y parasitarias,A507,"Sifilis congenita tardia, sin otra especificacion"
Ciertas enfermedades infecciosas y parasitarias,A509,"Sifilis congenita, sin otra especificacion"
Ciertas enfermedades infecciosas y parasitarias,A510,Sifilis genital primaria
Ciertas enfermedades infecciosas y parasitarias,A511,Sifilis primaria anal
Ciertas enfermedades infecciosas y parasitarias,A512,Sifilis primaria en otros sitios
Ciertas enfermedades infecciosas y parasitarias,A513,Sifilis secundaria de piel y membranas mucosas
Ciertas enfermedades infecciosas y parasitarias,A514,Otras sifilis secundarias
Ciertas enfermedades infecciosas y parasitarias,A515,"Sifilis precoz, latente"
Ciertas enfermedades infecciosas y parasitarias,A519,"Sifilis precoz, sin otra especificacion"
Ciertas enfermedades infecciosas y parasitarias,A520,Sifilis cardiovascular
Ciertas enfermedades infecciosas y parasitarias,A521,Neurosifilis sintomatica
Ciertas enfermedades infecciosas y parasitarias,A522,Neurosifilis asintomatica
Ciertas enfermedades infecciosas y parasitarias,A523,Neurosifilis no especificada
Ciertas enfermedades infecciosas y parasitarias,A527,Otras sifilis tardias sintomaticas
Ciertas enfermedades infecciosas y parasitarias,A528,"Sifilis tardia, latente"
Ciertas enfermedades infecciosas y parasitarias,A529,"Sifilis tardia, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A530,"Sifilis latente, no especificada como precoz o tardia"
Ciertas enfermedades infecciosas y parasitarias,A539,"Sifilis, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A540,Infeccion gonococica del tracto genitourinario inferior sin absceso periuretral y de glandula accesoria
Ciertas enfermedades infecciosas y parasitarias,A541,Infeccion gonococica del tracto genitourinario inferior con absceso periuretral y de glandulas accesorias
Ciertas enfermedades infecciosas y parasitarias,A542,Pelviperitonitis gonococica y otras infecciones gonococicas genitourinarias
Ciertas enfermedades infecciosas y parasitarias,A543,Infeccion gonococica del ojo
Ciertas enfermedades infecciosas y parasitarias,A544,Infeccion gonococica del sistema osteomuscular
Ciertas enfermedades infecciosas y parasitarias,A545,Faringitis gonococica
Ciertas enfermedades infecciosas y parasitarias,A546,Infeccion gonococica del ano y del recto
Ciertas enfermedades infecciosas y parasitarias,A548,Otras infecciones gonococicas
Ciertas enfermedades infecciosas y parasitarias,A549,"Infeccion gonococica, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A55X,Linfogranuloma (venereo) por clamidias
Ciertas enfermedades infecciosas y parasitarias,A560,Infeccion del tracto genitourinario inferior debida a clamidias
Ciertas enfermedades infecciosas y parasitarias,A561,Infeccion del pelviperitoneo y otros organos genitourinarios debida a clamidias
Ciertas enfermedades infecciosas y parasitarias,A562,"Infecciones del tracto genitourinario debidas a clamidias, sin otra especificacion"
Ciertas enfermedades infecciosas y parasitarias,A563,Infeccion del ano y del recto debida a clamidias
Ciertas enfermedades infecciosas y parasitarias,A564,Infeccion de faringe debida a clamidias
Ciertas enfermedades infecciosas y parasitarias,A568,Infeccion de transmision sexual de otros sitios debida a clamidias
Ciertas enfermedades infecciosas y parasitarias,A57X,Chancro blando
Ciertas enfermedades infecciosas y parasitarias,A58X,Granuloma inguinal
Ciertas enfermedades infecciosas y parasitarias,A590,Tricomoniasis urogenital
Ciertas enfermedades infecciosas y parasitarias,A598,Tricomoniasis de otros sitos
Ciertas enfermedades infecciosas y parasitarias,A599,"Tricomoniasis, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A600,Infeccion de genitales y trayecto urogenital debida a virus del herpes [herpes simple]
Ciertas enfermedades infecciosas y parasitarias,A601,Infeccion de la piel perianal y recto por virus del herpes simple
Ciertas enfermedades infecciosas y parasitarias,A609,"Infeccion anogenital por virus del herpes simple, sin otra especificacion"
Ciertas enfermedades infecciosas y parasitarias,A630,Verrugas (venereas) anogenitales
Ciertas enfermedades infecciosas y parasitarias,A638,"Otras enfermedades de transmision predominantemente sexual, especificadas"
Ciertas enfermedades infecciosas y parasitarias,A64X,Enfermedad de transmision sexual no especificada
Ciertas enfermedades infecciosas y parasitarias,A65X,Sifilis no venerea
Ciertas enfermedades infecciosas y parasitarias,A660,Lesiones iniciales de frambesia
Ciertas enfermedades infecciosas y parasitarias,A661,Lesiones papilomatosas multiples y frambesia con paso de cangrejo
Ciertas enfermedades infecciosas y parasitarias,A662,Otras lesiones precoces de la piel en la frambesia
Ciertas enfermedades infecciosas y parasitarias,A663,Hiperqueratosis de frambesia
Ciertas enfermedades infecciosas y parasitarias,A664,Goma y ulceras de frambesia
Ciertas enfermedades infecciosas y parasitarias,A665,Gangosa
Ciertas enfermedades infecciosas y parasitarias,A666,Lesiones frambesicas de los huesos y de las articulaciones
Ciertas enfermedades infecciosas y parasitarias,A667,Otras manifestaciones de frambesia
Ciertas enfermedades infecciosas y parasitarias,A668,Frambesia latente
Ciertas enfermedades infecciosas y parasitarias,A669,"Frambesia, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A670,Lesiones primarias de la pinta
Ciertas enfermedades infecciosas y parasitarias,A671,Lesiones intermedias de la pinta
Ciertas enfermedades infecciosas y parasitarias,A672,Lesiones tardias de la pinta
Ciertas enfermedades infecciosas y parasitarias,A673,Lesiones mixtas de la pinta
Ciertas enfermedades infecciosas y parasitarias,A679,"Pinta, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A680,Fiebre recurrente transmitida por piojos
Ciertas enfermedades infecciosas y parasitarias,A681,Fiebre recurrente transmitida por garrapatas
Ciertas enfermedades infecciosas y parasitarias,A689,"Fiebre recurrente, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A690,Estomatitis ulcerativa necrotizante
Ciertas enfermedades infecciosas y parasitarias,A691,Otras infecciones de Vincent
Ciertas enfermedades infecciosas y parasitarias,A692,Enfermedad de Lyme
Ciertas enfermedades infecciosas y parasitarias,A698,Otras infecciones especificadas por espiroquetas
Ciertas enfermedades infecciosas y parasitarias,A699,"Infeccion por espiroqueta, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A70X,Infeccion debida a Chlamydia psittaci
Ciertas enfermedades infecciosas y parasitarias,A710,Estado inicial de tracoma
Ciertas enfermedades infecciosas y parasitarias,A711,Estado activo de tracoma
Ciertas enfermedades infecciosas y parasitarias,A719,"Tracoma, no especificado"
Ciertas enfermedades infecciosas y parasitarias,A740,Conjuntivitis por clamidias
Ciertas enfermedades infecciosas y parasitarias,A748,Otras enfermedades por clamidias
Ciertas enfermedades infecciosas y parasitarias,A749,"Infeccion por clamidias, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A750,Tifus epidemico debido a Rickettsia prowazekii transmitido por piojos
Ciertas enfermedades infecciosas y parasitarias,A751,Tifus recrudescente [enfermedad de Brill]
Ciertas enfermedades infecciosas y parasitarias,A752,Tifus debido a Rickettsia typhi
Ciertas enfermedades infecciosas y parasitarias,A753,Tifus debido a Rickettsia tsutsugamushi
Ciertas enfermedades infecciosas y parasitarias,A759,"Tifus, no especificado"
Ciertas enfermedades infecciosas y parasitarias,A770,Fiebre maculosa debida a Rickettsia rickettsii
Ciertas enfermedades infecciosas y parasitarias,A771,Fiebre maculosa debida a Rickettsia conorii
Ciertas enfermedades infecciosas y parasitarias,A772,Fiebre maculosa debida a Rickettsia siberica
Ciertas enfermedades infecciosas y parasitarias,A773,Fiebre maculosa debida a Rickettsia australis
Ciertas enfermedades infecciosas y parasitarias,A778,Otras fiebres maculosas
Ciertas enfermedades infecciosas y parasitarias,A779,"Fiebre maculosa, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A78X,Fiebre Q
Ciertas enfermedades infecciosas y parasitarias,A790,Fiebre de las trincheras
Ciertas enfermedades infecciosas y parasitarias,A791,Rickettsiosis pustulosa debida a Rickettsia akari
Ciertas enfermedades infecciosas y parasitarias,A798,Otras rickettsiosis especificadas
Ciertas enfermedades infecciosas y parasitarias,A799,"Rickettsiosis, no especificada"
Ciertas enfermedades infecciosas y parasitarias,A800,"Poliomielitis aguda paralitica, asociada a vacuna"
Ciertas enfermedades infecciosas y parasitarias,A801,Poliomielitis aguda paralitica debida a virus salvaje importado
Ciertas enfermedades infecciosas y parasitarias,A802,Poliomielitis aguda paralitica debida a virus salvaje autoctono
Ciertas enfermedades infecciosas y parasitarias,A803,Otras poliomielitis agudas paraliticas y las no especificadas
